llm,problem_uuid,problem,prompt_builder,score_overall_exact_match,score_to-english_exact_match,score_from-english_exact_match,score_overall_exact_recall,score_to-english_exact_recall,score_from-english_exact_recall
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,ModelingMinimalPromptBuilder,0.1,0.0,0.0,0.1,0.25,0.0
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,ModelingHandTunedPromptBuilder,0.1,0.0,0.0,0.1,0.25,0.0
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,NullPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,ModelingFullCoTPromptBuilder,0.1,0.0,0.0,0.1,0.25,0.0
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,LingOlyStdPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,ModelingBasicCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,ModelingHandTunedPromptBuilder,0.125,,0.0,0.125,,0.125
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,NullPromptBuilder,0.125,,0.0,0.125,,0.125
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,ModelingMinimalPromptBuilder,0.125,,0.0,0.125,,0.125
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,LingOlyStdPromptBuilder,0.125,,0.0,0.125,,0.125
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,ModelingBasicCoTPromptBuilder,0.125,,0.0,0.125,,0.125
gpt-4o,d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,ModelingFullCoTPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,ModelingHandTunedPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,NullPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,ModelingMinimalPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,LingOlyStdPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,ModelingBasicCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,ModelingFullCoTPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,ModelingHandTunedPromptBuilder,0.6,0.4,0.0,0.6,0.6,0.6
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,NullPromptBuilder,0.2,0.4,0.0,0.2,0.2,0.2
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,ModelingMinimalPromptBuilder,0.8,0.4,0.0,0.8,0.8,0.8
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,LingOlyStdPromptBuilder,0.7,0.4,0.0,0.7,0.6,0.8
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,ModelingBasicCoTPromptBuilder,0.6,0.4,0.0,0.6,0.6,0.6
gpt-4o,32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,ModelingFullCoTPromptBuilder,0.6,0.4,0.0,0.6,0.6,0.6
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,ModelingHandTunedPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,ModelingMinimalPromptBuilder,0.0,0.0,0.0,0.0,0.0,0.0
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,ModelingBasicCoTPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,LingOlyStdPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,NullPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,ModelingFullCoTPromptBuilder,0.125,0.0,0.0,0.125,0.25,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,ModelingMinimalPromptBuilder,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,ModelingHandTunedPromptBuilder,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,NullPromptBuilder,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,ModelingFullCoTPromptBuilder,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,LingOlyStdPromptBuilder,0.1666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.0
gpt-4o,ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,ModelingBasicCoTPromptBuilder,0.5,0.3333333333333333,0.0,0.5,0.6666666666666666,0.3333333333333333
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,ModelingHandTunedPromptBuilder,0.0,,0.0,0.0,,0.0
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,ModelingMinimalPromptBuilder,0.25,,0.0,0.25,,0.25
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,NullPromptBuilder,0.25,,0.0,0.25,,0.25
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,LingOlyStdPromptBuilder,0.25,,0.0,0.25,,0.25
gpt-4o,9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,ModelingFullCoTPromptBuilder,0.25,,0.0,0.25,,0.25
