problem_uuid,problem,ft_count,cf,eng,eng_sim,w_Phonology,w_Nominal Categories,w_Lexicon,w_Nominal Syntax,w_Verbal Categories,w_Morphology,w_Simple Clauses,w_Complex Sentences,w_Word Order,b_Semantics,b_Phonology,b_Morphology,b_Syntax,features,walss,broad,is_constrained,is_eng,is_eng_sim
1b35a0a0-6692-4e9d-b7c1-2cf984109b0d,L_Ainu,7,1.0,0.2857142857,0.0,0,2,0,1,0,1,2,1,0,1,0,4,2,"['dim', 'intens', 'miscfix', 'miscsyn', 'numfix', 'persfix', 'transfix']","['Nominal Categories', 'Nominal Syntax', 'Morphology', 'Complex Sentences', 'Nominal Categories', 'Simple Clauses', 'Simple Clauses']","['Semantics', 'Syntax', 'Morphology', 'Syntax', 'Morphology', 'Morphology', 'Morphology']","[True, True, True, True, True, True, True]","[False, True, False, False, True, False, False]","[False, False, False, False, False, False, False]"
d01afdcf-e122-467e-af89-c4f4e012065f,L_Amele,2,1.0,0.0,0.5,0,0,0,0,0,1,1,0,0,0,0,2,0,"['miscfix', 'persfix']","['Morphology', 'Simple Clauses']","['Morphology', 'Morphology']","[True, True]","[False, False]","[False, True]"
df49180b-35c1-4d57-856a-ca8edb445aab,L_Beja,8,0.875,0.5,0.25,0,5,0,0,1,0,1,0,1,0,0,7,1,"['case', 'def', 'genfix', 'negfix', 'numfix', 'persfix', 'sov', 'tensefix']","['Nominal Categories', 'Nominal Categories', 'Nominal Categories', 'Nominal Categories', 'Nominal Categories', 'Simple Clauses', 'Word Order', 'Verbal Categories']","['Morphology', 'Morphology', 'Morphology', 'Morphology', 'Morphology', 'Morphology', 'Syntax', 'Morphology']","[True, True, True, True, True, True, False, True]","[False, True, False, True, True, False, False, True]","[False, False, False, False, False, True, True, False]"
32bd11d5-5acf-4e8b-a0fc-f6cd30e8b511,L_Choctaw,3,1.0,0.0,0.3333333333,0,1,0,1,0,0,1,0,0,1,0,2,0,"['alien', 'possfix', 'transfix']","['Nominal Categories', 'Nominal Syntax', 'Simple Clauses']","['Semantics', 'Morphology', 'Morphology']","[True, True, True]","[False, False, False]","[False, True, False]"
7b9e8024-7895-4715-869e-fbe8ab01e300,L_Coptic,5,1.0,0.6,0.4,1,1,1,1,0,0,1,0,0,1,1,2,1,"['miscphon', 'num', 'numfix', 'poss', 'possfix']","['Phonology', 'Lexicon', 'Nominal Categories', 'Simple Clauses', 'Nominal Syntax']","['Phonology', 'Semantics', 'Morphology', 'Syntax', 'Morphology']","[True, True, True, True, True]","[False, True, True, True, False]","[True, False, False, False, True]"
ef4a9bd0-164e-4df5-905c-41f463308dc6,L_Ilokano,3,1.0,0.3333333333,0.3333333333,0,0,0,0,1,0,1,0,1,0,0,2,1,"['tensefix', 'transfix', 'vos']","['Verbal Categories', 'Simple Clauses', 'Word Order']","['Morphology', 'Morphology', 'Syntax']","[True, True, True]","[True, False, False]","[False, False, True]"
9fe7c252-fd62-46ec-8e9d-e6979bab9dda,L_Kabyle,4,0.75,0.0,1.0,0,1,0,0,0,1,1,0,1,1,1,1,1,"['eli', 'neg', 'persfix', 'vs']","['Morphology', 'Nominal Categories', 'Simple Clauses', 'Word Order']","['Phonology', 'Semantics', 'Morphology', 'Syntax']","[True, True, True, False]","[False, False, False, False]","[True, True, True, True]"
978ac259-c045-4742-acb5-5cd7b577e117,L_Karelian,1,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,['num'],['Lexicon'],['Semantics'],[False],[True],[False]
66e82771-e2df-4a54-8a4a-fb1a4baf24ce,L_K’iche’,8,0.75,0.75,0.25,0,1,0,2,1,0,2,0,2,1,0,3,4,"['intens', 'neg', 'persfix', 'poss', 'possfix', 'prepnoun', 'tensefix', 'vso']","['Nominal Syntax', 'Nominal Categories', 'Simple Clauses', 'Simple Clauses', 'Nominal Syntax', 'Word Order', 'Verbal Categories', 'Word Order']","['Syntax', 'Semantics', 'Morphology', 'Syntax', 'Morphology', 'Syntax', 'Morphology', 'Syntax']","[True, False, True, True, True, True, False, True]","[True, True, False, True, True, True, True, False]","[False, False, True, False, False, False, False, True]"
5a9c25d3-bfc7-4618-8ac9-bd1eff4c9f4d,L_Lardil,1,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,['moeity'],['Nominal Categories'],['Semantics'],[True],[False],[False]
